Dataset,Prompt,Reference
CNN_DailyMail,"Summarize: (CNN)Boston native Mark Wahlberg will star in a film about the Boston Marathon bombing and the manhunt that followed, Deadline reported Wednesday. Wahlberg's film, to be titled ""Patriots' Day,"" is being produced by CBS Films, which linked to the Deadline article from its website. According to Deadline, Wahlberg is hoping to play Boston Police Commissioner Ed Davis, who retired after the attack in 2013. The film will be told from Davis' point of view. The film will feature material researched and shot by CBS Films' corporate sibling, the CBS News program ""60 Minutes."" Wahlberg is also a producer of the film. ""Patriots' Day"" is the second film related to the Boston bombing to be announced. Fox announced in November that it will be making a film called ""Boston Strong"" about the event.","Mark Wahlberg is planning to appear in ""Patriots' Day""
The film will be about events surrounding the 2013 Boston Marathon bombing .
Another film, ""Boston Strong,"" is also in the works ."
CNN_DailyMail,"Summarize: (CNN)What do we have for the contestant on ""The Price Is Right""? A brand-new car! Whoops. That wasn't supposed to happen. On Thursday's edition of the popular game show, model Manuela Arbelaez accidentally revealed the correct answer to a guessing game for a new Hyundai Sonata. Host Drew Carey couldn't stop laughing. ""Congratulations! Manuela just gave you a car!"" he exulted. Arbelaez was mortified, attempting to hide behind the display. But everything turned out OK, she tweeted later. It's been a busy week for ""The Price Is Right."" On Wednesday, former host Bob Barker, 91, showed up to run his old show.","""The Price Is Right"" gives away a car ... accidentally .
A model makes a big mistake during a game .
Host Drew Carey thought the error was hilarious ."
CNN_DailyMail,"Summarize: (CNN)Authorities identified and charged a man Monday in connection with the discovery of human remains in a duffel bag in Cambridge, Massachusetts, over the weekend. Carlos Colina, 32, was arraigned on charges of assault and battery causing serious bodily injury and improper disposal of a body, the Middlesex District Attorney's Office said in a statement. ""This was a gruesome discovery,"" said District Attorney Marian Ryan. ""Detectives are continuing to analyze evidence and awaiting information from the Office of the Chief Medical Examiner so that we may determine if additional charges are warranted."" Police were notified Saturday morning about a suspicious item along a walkway in Cambridge. Officers arrived at the scene, opened a duffel bag and found human remains. After that discovery, police say, a surveillance video led them to an apartment building, where more body parts were discovered in a common area. That location is near the Cambridge Police Department headquarters. The remains at both locations belonged to the same victim, identified Monday as Jonathan Camilien, 26. Camilien and Colina knew each other, according to authorities. The next scheduled hearing in the case is set for April 14. CNN's Andreas Preuss contributed to this report.","Carlos Colina, 32, is arraigned on charges of assault and battery, improper disposal of a body .
Body parts were discovered Saturday in a duffel bag and a common area of an apartment building .
The victim in the case is identified as Jonathan Camilien, 26; authorities say he knew Colina ."
CNN_DailyMail,"Summarize: (CNN)For those wondering if we would ever hear from the Bluth family again, the answer would appear to be yes. ""Arrested Development"" executive producer Brian Grazer said the show will return for a fifth season of 17 episodes. The Hollywood mogul was interviewed on Bill Simmons' podcast recently, and let it drop that fans can expect more of the quirky comedy. Netflix had no comment for CNN when asked to verify his statements. The fourth season was streamed exclusively on Netflix in 2013, after Fox canceled the show several years before. Despite critical acclaim, the series never had big ratings, but has a devoted fan base, who often quote from the show. It was not yet known if the full cast, including Jason Bateman, Michael Cera and Will Arnett, will return for the season.","Fan favorite series ""Arrested Development"" to return for a fifth season, according to producer .
Brian Grazer claimed the show would be back in a podcast .
Netflix is not commenting ."
CNN_DailyMail,"Summarize: (CNN)This is the end. Beautiful friend, the end. For the 1960s, the end arrived with -- depending on your ideals and your tribe -- either the Rolling Stones' Altamont fiasco in December 1969, the Kent State shootings in May 1970 or Richard Nixon's 1972 re-election. For ""Mad Men,"" the ""end of an era,"" as its slogan has it, begins Sunday. Over the past eight years, the show about a 1960s advertising agency and its collision with changing times has become part of the national fabric, if never a huge ratings hit. Stores have created fashion lines inspired by the show; there have been ""Mad Men"" cocktails and ""Mad Men"" museum exhibits and even ""Mad Men"" presidential references. Don Draper, the creative director played by Jon Hamm, has become a symbol of the times -- his and, sometimes, ours. Its subjects have taken the show to heart. In March, a ""Mad Men"" bench was unveiled in front of New York's Time & Life Building, where the fictional firm of Sterling Cooper & Partners has its headquarters. The end of a TV series brings with it some risk. ""The Sopranos,"" ""Mad Men"" creator Matthew Weiner's former employer, divided fans with its famous cut-to-black finale. On the other hand, ""Mad Men's"" former AMC stablemate, ""Breaking Bad,"" was saluted for an almost perfect landing. Speaking of landings: The last season -- technically, the first half of season 7 -- ended with the moon landing in July 1969. Though Weiner and his cast have been typically tight-lipped -- Weiner even hid the finale from his cast at first -- it's reasonable to assume the new season will pick up soon afterward. What's going to happen? Here are some educated guesses. With the '60s screaming towards their conclusion, ""Mad Men"" probably won't jump ahead much. The latter half of 1969 included the Manson murders, the Woodstock festival, a New York mayoral campaign and the Vietnam War moratorium demonstrations -- plenty of fodder for the characters to interact with, if only tangentially. Who knows? The show might even mention the Miracle Mets. It would be a nice way to acknowledge the agency's late Lane Pryce. Of course, Weiner might have a different idea; he's from Baltimore. ""Mad Men"" is generally a show about disintegration, reflective of the '60s themselves. The old orders are falling apart: white-shoe WASP firms like Sterling Cooper giving way to the ethnic pace-setters such as Doyle Dane Bernbach; grimy New York replaced by sunny Los Angeles; the ""Good War"" generation butting heads with the ""Make Love, Not War"" cohort; vacuum tubes and ledger books being displaced by a sleek, solid-state IBM world. It's all an ad agency can do to keep up. Last season saw plenty of intraoffice turmoil, thanks to the ill-fitting merger between Sterling Cooper and former rival Cutler Gleason and Chaough. Though the agency survived, it's now without Bert Cooper (Robert Morse) and under the ownership of (real-life) Madison Avenue titan McCann Erickson. That's not a recipe for long-term survival, and expect a number of longtime characters -- Ken Cosgrove (Aaron Staton), Harry Crane (Rich Sommer) and perhaps even Joan Harris (Christina Hendricks) -- to look for an exit. Roger Sterling -- the wisecracking executive played by John Slattery -- might find an exit as well, but not one he's anticipating. He's suffered two heart attacks. He drinks to excess. He's never grown up. Bet on a sudden and shocking departure. On the other hand, Peggy Olson's star has continued to rise (much like one of the character's models, advertising wunderkind Mary Wells Lawrence). She left Sterling Cooper once; indeed, she wouldn't have returned if her new agency hadn't merged with her old one. If Olson, played by Elisabeth Moss, bolts the firm, it will probably be to head her own agency -- and possibly get married. That is, if she's still interested in such an old-fashioned tradition. In recent seasons, Don's ex-wife, Betty (January Jones), has lost herself amid all the turmoil. She sees herself through the eyes of her spouses, and though husband Henry Francis (Christopher Stanley) has been far more supportive than Don, he's a busy man. And Sally, Don's daughter (Kiernan Shipka), is proving to be a handful. On the one hand, she's obviously bright; on the other, she's a teenager and starting to rebel. In recent seasons she's run away and started sneaking cigarettes, and she's always fighting with her mother. You could see her hitchhiking to Woodstock, or at least dropping out of school. Anything's possible, but given all that the character has been through -- divorces, affairs, office politics, morose late-night rides with Glen Bishop -- it's a bit on the nose, isn't it? Instead, try this: It's April 1, 1970. Richard Nixon is signing legislation banning cigarette ads on radio and television, reminding Don of the day 10 years earlier when he came up with the Lucky Strike campaign that began the series. No fool, he had seen this day coming years before. He'll fix himself a drink, ponder buying an avocado-colored refrigerator, clean out his ashtray and leave the show the way he arrived: on top of the zeitgeist, unable to accept his past and utterly, inscrutably alone.","""Mad Men's"" final seven episodes begin airing April 5 .
The show has never had high ratings but is considered one of the great TV series .
It's unknown what will happen to characters, but we can always guess ."
CNN_DailyMail,"Summarize: (CNN)Just kill it already. That was the sentiment of many ""Vampire Diaries"" fans on Tuesday after star Nina Dobrev announced she will be leaving the CW show at the end of this season. ""I always knew I wanted Elena's story to be a six season adventure, and within those six years I got the journey of a lifetime,"" she posted on her social media accounts after a ""goodbye party"" at Lake Lanier outside Atlanta, where the show is filmed. ""I was a human, a vampire, a doppelganger, a crazy immortal, a doppelganger pretending to be human, a human pretending to be a doppelganger. I got kidnapped, killed, resurrected, tortured, cursed, body-snatched, was dead and undead, and there's still so much more to come before the season finale in May."" And while that may be true, fans were feeling a little jilted. Many chastised the show's producers, some even Dobrev herself, for allowing the show to go on to a seventh season this fall after she departs. Many were upset that Dobrev's departure could sink hopes of seeing a satisfying denouement to the relationship between Dobrev's character, Elena Gilbert, and love interest vampire Damon Salvatore. Fans called the couple ""Delena."" ""I feel angry, sad, depressed, numb but most of all I feel like part of me died along with Nina leaving TVD. Nothing will be the same again,"" Twitter user iDamonAndElena posted. Producer Julie Plec issued a statement supporting Dobrev's decision. ""Nina is excited to spread her wings, get some rest, travel the world and also take it by storm, and we support her a thousand-fold,"" she said in the statement, according to media accounts. ""We will miss Nina and the four hundred characters she played, but we look forward to the insane and exciting challenge of continuing to tell stories of our Salvatore Brothers and our much-loved and gifted ensemble."" No thanks, some fans said. Dobrev seemed to anticipate the pain, urging fans to hold on through the show's finale next month. ""If you think you know what's coming, you don't,"" she said.","""Vampire Diaries"" star Nina Dobrev announces she's leaving the show .
""Nothing will be the same again,"" fans say ."
CNN_DailyMail,"Summarize: New Delhi, India (CNN)Police have arrested four employees of a popular Indian ethnic-wear chain after a minister spotted a security camera overlooking the changing room of one of its stores. Federal education minister Smriti Irani was visiting a FabIndia outlet in the tourist resort state of Goa on Friday when she discovered a surveillance camera pointed at the changing room, police said. Four employees of the store have been arrested, but its manager -- herself a woman -- was still at large Saturday, said Goa police superintendent Kartik Kashyap. State authorities launched their investigation right after Irani levied her accusation. They found an overhead camera that the minister had spotted and determined that it was indeed able to take photos of customers using the store's changing room, according to Kashyap. After the incident, authorities sealed off the store and summoned six top officials from FabIndia, he said. The arrested staff have been charged with voyeurism and breach of privacy, according to the police. If convicted, they could spend up to three years in jail, Kashyap said. Officials from FabIndia -- which sells ethnic garments, fabrics and other products -- are heading to Goa to work with investigators, according to the company. ""FabIndia is deeply concerned and shocked at this allegation,"" the company said in a statement. ""We are in the process of investigating this internally and will be cooperating fully with the police.""","Federal education minister Smriti Irani visited a FabIndia store in Goa, saw cameras .
Authorities discovered the cameras could capture photos from the store's changing room .
The four store workers arrested could spend 3 years each in prison if convicted ."
CNN_DailyMail,"Summarize: (CNN)Nine British citizens were arrested in Turkey on Wednesday, suspected of trying to cross illegally into Syria, the Turkish military said on its website. The group included four children -- the oldest being 10 or 11, with the youngest born in 2013, a Turkish official told CNN on condition of anonymity. The nine were arrested at the Turkey-Syria border, the Turkish military said. It didn't say why the group allegedly was trying to get into Syria, which has been torn by a roughly four-year war between Syrian government forces and Islamist extremist groups and other rebels. Among the war's combatants is ISIS, which has taken over parts of Syria and Iraq for what it claims is its Islamic caliphate, and which is known to have been recruiting Westerners. Accompanying the children were three men and two women; all nine had British passports, the Turkish official said. UK police charge man with terror offenses after Turkey trip . The British Foreign Office said Wednesday that it is aware of reports of the arrests and that it is seeking information about the incident from Turkish authorities. CNN's Gul Tuysuz reported from Istanbul, and Elaine Ly reported from London. CNN's Jason Hanna contributed to this report.","The group included four children, Turkish official says .
Turkish military didn't say what group's intent was .
UK Foreign Office says it is trying to get information from Turkish officials ."
CNN_DailyMail,"Summarize: (CNN)A nuclear submarine being repaired at a Russian shipyard has caught on fire, according to a law enforcement source speaking to Russia's state-run news agency ITAR-Tass. ""The submarine is in a dry dock,"" Tass reports, citing the source, and there is no ammunition on board. ""The rubber insulation between the submarine's light and pressure hull is on fire,"" Tass reported. Russia's RIA Novosti news agency says insulation caught on fire as welding work was being done on the submarine. Tass reported that the fire began on a sub in the Zvyozdochka shipyard in northwestern Russia. Zvyozdochka spokesman Yevgeny Gladyshev told the news agency that the sub had been undergoing repairs since November 2013. ""Nuclear fuel from the sub's reactor has been unloaded,"" he reportedly said. ""There are no armaments or chemically active, dangerous substances, fissionable materials on it,"" Gladyshev said to Tass. ""The enterprise's personnel left the premises when the submarine caught fire, no one has been injured. The fire presents no threat to people and the shipyard.""","Submarine is in Zvyozdochka shipyard, in northwestern Russia .
No ""dangerous"" substances on the submarine, shipyard spokesman told ITAR-Tass ."
CNN_DailyMail,"Summarize: (CNN)Kayahan, one of Turkey's best-loved singers and songwriters, died of cancer Friday at the age of 66. He had performed most recently in Istanbul on Valentine's Day. The performer, who was also an accomplished guitarist, was first diagnosed with cancer in 1990, the year he competed in the Eurovision Song Contest, and the year before he released the album that ignited his career. The cancer returned in 2005 and then again in 2014, Turkey's semiofficial Anadolu Agency reported. He died Friday in a hospital in Istanbul, five days after his 66th birthday. ""We are in grief over losing Kayahan, who contributed to Turkish music with countless compositions and marked a generation with his songs,"" Prime Minister Ahmet Davutoglu tweeted. The singer, whose full name was Kayahan Acar, was born in Izmir province, in western Turkey on March 29, 1949. He grew up in Ankara, Turkey's capital, before moving to Istanbul. In 1990, he competed in the Eurovision Song Contest, finishing 17th. The following year he released an album titled ""I Made a Vow,"" which catapulted him to prominence. Though he recorded nearly 20 albums, that one would remain his most popular. His final album was released in 2007. Other artists recorded his material throughout his career. Videos available online show a vibrant performer with a thick shock of dark hair as he accompanies himself on guitar and croons in a clear tenor. Kayahan was best known for his love songs. More recent videos show a  frailer performer, seated and without a guitar, but still clearly glorying in the joy of singing a song.","Kayahan wrote some of Turkey's best-loved pop songs .
The singer was first diagnosed with cancer in 1990 .
He most recently performed in February in Istanbul ."
CNN_DailyMail,"Summarize: Beijing (CNN)China's state prosecutors on Friday formally charged the country's former security czar with accepting bribes, making him the highest-ranking Chinese Communist Party official ever to face corruption charges. Zhou Yongkang, 72, was also charged with abuse of power and leaking state secrets, the Supreme People's Procuratorate, the highest prosecution authority in China, said. As a member of the ruling Communist Party's Politburo Standing Committee -- China's top decision-making body -- Zhou was one of nine men who effectively ruled the country of more than 1.3 billion people. He retired in 2012. At the height of his power, Zhou controlled police forces, spy agencies, court systems as well as prosecution offices across China -- and wasn't shy in deploying his vast assets to crush dissent and unrest in the name of ""preserving social stability."" Now, prosecutors have accused Zhou of ""taking advantage of his posts to seek benefits for others and illegally accepting huge amounts of money"" during his long political career. His alleged actions have caused heavy losses to public assets and greatly harmed national interests, they added. Zhou was notified of his legal rights during the investigation and his lawyer's views were heard, according to a statement by the prosecutors. His case will be tried in Tianjin, a city near the Chinese capital, Beijing. The president of China's supreme court recently told reporters there would be ""open"" trials for accused former leaders like Zhou. However, the charge of leaking state secrets may allow authorities to shield certain legal proceedings from public view in Zhou's case. Zhou has not been seen in public since he attended an anniversary event at his alma mater in October 2013. He was expelled from the Communist Party and arrested last December. State media have painted an intricate web of officials, cronies and tycoons -- some with alleged mafia connections -- orbiting around Zhou before the crumbling of his power structure last summer. Zhou and his family members were said to have accumulated enormous wealth, in a blatant exchange between money and power. He was also found to have affairs with multiple women and allegedly traded power for sex, state-run Xinhua news agency reported last year. Analysts have viewed his shocking downfall as a watershed moment in the secretive world of Chinese politics, now ruled by President Xi Jinping. Xi has been spearheading a massive anti-corruption campaign,  targeting both ""tigers"" and ""flies"" --  high-ranking, and low-level, officials. Zhou is by far the biggest tiger caught in Xi's dragnet to date. ""The important thing here is that Xi has proven he's powerful enough to break this taboo of never incriminating former Politburo Standing Committee members,"" longtime political analyst Willy Lam, a professor at the Chinese University of Hong Kong, said last year, when the government revealed its formal investigation into Zhou. Many observers also note Zhou's patronage of Bo Xilai, a former Communist leader sentenced to life in prison for corruption in 2013. Bo's spectacular downfall the year before -- complete with tales of murder, bribery and betrayal -- attracted global attention. State media have cited his subsequent conviction as a prime example of Xi's resolve to clean up the party. The former Chongqing Communist Party chief's supporters, however, have long called him a political victim --  the former high-flying politician was once considered Xi's main challenger for the top spot of Chinese leadership. Political watchers see similarities between the Bo and Zhou cases. ""The people being investigated for corruption are on the losing side of factional struggles,"" said Lam, who has predicted a suspended death sentence for Zhou.","Prosecutors formally charged former top official Zhou Yongkang .
Zhou charged with accepting bribes, abuse of power and leaking state secrets .
Former domestic security official is the most senior Chinese official to face corruption charges ."
CNN_DailyMail,"Summarize: (CNN)""Sell all that you own and distribute the money to the poor, and you will have treasure in heaven; then come, follow me,"" Jesus tells the rich man in one of his best-known parables. It was a mantra he invoked repeatedly: the poor were blessed, and it was easier for a camel to pass through the eye of a needle than it was for the well-to-do to enter paradise.  Meanwhile, Jesus told his Twelve Apostles to leave their day jobs and follow him on an itinerant mission with few prospects of success and no visible means of support. So how did this wandering band of  first-century evangelists support themselves? Clearly, money was a concern, and not just as an impediment to salvation. In the New Testament, money gets 37 mentions, while ""gold"" gets 38 citations, ""silver"" merits 20, and ""copper"" four. ""Coin"" comes up eight times, and ""purse"" and ""denarii"" -- the Roman currency -- get half a dozen mentions each for a total of 119 currency referrals. Perhaps the most relevant reference is also one of the most charged passages in the New Testament: . As the Gospel of John tells it, six days before Passover, Jesus was in Bethany at the house of his friend Lazarus, whom he had raised from the dead. A woman named Mary takes a jar of costly perfumed oil and anoints the feet of the reclining Jesus. She dries his feet with her hair, an irresistible image for artists and dramatists. Judas Iscariot objected to the act. ""Why was this perfume not sold for three hundred denarii and the money given to the poor?"" Judas asks. Though 300 denarii was the annual wage of a laborer, Jesus told Judas to leave her alone, and foreshadowing his fate, said the anointing would be useful for his burial, and besides, ""you always have the poor with you"" -- but Jesus would not always be there. What that passage makes clear is that the Jesus community had a common purse because they needed money to survive. So how much? ""I imagine the ministry functioned at a subsistence level,"" Rabbi Joshua Garroway, a professor of Early Christianity and the Second Commonwealth at Hebrew Union College in Los Angeles. Jesus and his disciples walked, wore what they had, slept outside or in stayed in friends' homes. They ate what they caught or what others shared. ""I venture to guess that begging and hospitality will have sufficed to meet the basic needs of Jesus and the companions with whom he traveled,"" Garroway said. Garroway said that it was possible, even likely, that Jesus and his followers received donations from supporters, and possibly substantial ones from some of the rich people who were drawn to his ministry despite -- or perhaps because of -- his preaching on the perils of wealth. The Gospel of Luke gives us a glimpse of how Jesus' ministry functioned on a practical level: . ""Soon afterwards he went on through cities and villages, proclaiming and bringing the good news of the kingdom of God. The twelve were with him, as well as some women who had been cured of evil spirits and infirmities: Mary, called Magdalene, from whom seven demons had gone out,  and Joanna, the wife of Herod's steward Chuza, and Susanna, and many others, who provided for them  out of their resources."" So, according to Luke, women whom Jesus had healed in turn provided for him out of their ""resources,"" with Mary Magdalene and Joanna capturing our attention -- one by virtue of her husband, and the other, by her stature in the story of Jesus. Joanna was an upper-class woman married to a man who was intelligent and capable enough to manage the complicated household of Herod Antipas, the son of Herod the Great, the violent and ambitious head of Judea. As part of this volatile but powerful household, Joanna would be uniquely positioned to help Jesus with her resources, being both wealthy and having palace connections. She attends to him during his life, and, the Gospels tell us, after his death, as one of the trio of women who go to his tomb and find it empty. With her on that morning is Mary Magdalene, also identified as -- among other things -- a financial supporter of Jesus. Mary likely came from the prosperous town of Magdala, on the Sea of Galilee. As home to a thriving fishing industry, as well as dye and textile works, Mary could well have come from an affluent family -- or have been a successful business woman herself. Mary Magdalene was free to travel the country with Jesus and his disciples, so was unlikely to have a husband and children waiting for her at home, and in ""Finding Jesus"" we examine the Gnostic gospel of Mary Magdalene and explore the argument that Jesus was, in fact, her husband. She may have simply been an independent woman with her own resources who found a compelling message, and messenger. Not only was Mary Magdalene one of Jesus' most devoted followers, who stuck with him all the way from Galilee to Jerusalem, from the ministry to the cross and the tomb, but also she provided for him from her own means, said Mark Goodacre, a professor of New Testament and Christian Origins at Duke University. When the Gospels speak of her ""ministering"" to Jesus, they are explaining that she was one of the key figures in Jesus' everyday mission, Goodacre continues. Along with other women like Joanna and Susanna, she was one of those who made his mission viable. Along with these women, men like Joseph of Arimathea and Nicodemus, both men of stature and wealth, may have chipped in to help fund Jesus' ministry. The Gospels reveal that both these men were rich, and supported Jesus -- indeed, it was Joseph who removed Jesus from the cross on Good Friday, anointing his body with the help of Nicodemus, and placing him in the tomb that Joseph had reserved for himself. After the resurrection on that first Easter Sunday, the movement Jesus started grew exponentially, and the church's relationship to money grew more complicated as the needs became greater. Michael McKinley is co-author, with David Gibson, of ""Finding Jesus: Faith. Fact. Forgery.: Six Holy Objects That Tell the Remarkable Story of the Gospels.""","Some of Jesus' most important financial backers were women, historians say.
Joseph of Arimathea and Nicodemus, both men of stature and wealth, chipped in to help fund Jesus' ministry."
CNN_DailyMail,"Summarize: Kabul, Afghanistan (CNN)Three people were killed and five others were wounded Thursday afternoon when a group of armed assailants stormed into the attorney general's office in Balkh province, northern Afghanistan, according to a press release from the provincial governor's office. Although most staff members and civilians have been rescued, an exchange of fire between Afghan security forces and the assailants is ongoing, the statement says. Two police officers and a security guard of the provincial attorney general's office were among the dead. Afghan security forces are cautiously making advances in the fight in order to avoid civilian casualties, according to the press statement.","Three people killed; five wounded in attack on attorney general's office in Balkh province .
Staff and civilians have been rescued as gunmen engaged Afghan security forces ."
CNN_DailyMail,"Summarize: (CNN)When I was elected to the Kentucky State Senate in 1967, I became the first woman and the first person of color to serve in the body.  Five decades later, I find it almost unfathomable that a politician from my own state is attempting to launch his presidential campaign on a record that includes questioning landmark voting rights and civil rights legislation. But that is what Rand Paul, who today declared he's running for president of the United States, is doing. His campaign team told reporters last week that his campaign announcement message would be about ""expanding the Republican Party"" -- a message of inclusion. But those of us listening today who he is hoping to include, heard nothing more than hype. I'm not buying it. Since coming to the U.S. Senate, Paul has tried to sell himself as a different type of Republican.  He's tried to brand himself as the GOP's minority outreach candidate.  The problem for Paul, and the GOP at large, is that they don't back up their words with their policies. Yes, it's about time that Republicans started seriously considering the fact that black voters are an important piece of the electoral puzzle.  But they can't actually appeal to the community unless they have a real commitment to the issues facing minority communities.  A quick survey of Sen. Paul's positions makes clear that he does not. Paul kicked off his announcement speech in Louisville by declaring ""I have a message that is loud and clear:  We have come to take our country back.""  I have no doubt that under Paul's leadership, he would indeed take our country back -- in the wrong direction -- way back to a time when we were debating the Civil Rights Act --  which Paul has done since landing on the national stage; when there was no Department of Education -- a department he thinks ""should be done away with;"" when women didn't have choices -- choices Paul seeks to limit in Washington; when DREAMers weren't protected from deportation -- protections Paul currently opposes. In his inept speaking engagements at historically black colleges and universities, he has come across as condescending and lacking basic cultural competency. But Paul has also questioned the Civil Rights Act, and even claimed that private business owners have a right to discriminate. When asked about the need for a more robust Voting Rights Act following the Supreme Court's dismantling of the law, Paul dismissively remarked, ""We have an African-American President."" When President Obama stood with John Lewis and other veterans of the civil rights movement in front of the Edmund Pettus Bridge last month to mark the 50th anniversary of Bloody Sunday, he inspired us all by saying: ""With effort, we can roll back poverty and the roadblocks to opportunity. ... With effort, we can protect the foundation stone of our democracy for which so many marched across this bridge -- and that is the right to vote."" America is better -- and we solve more problems -- with more democracy, not less.  Unfortunately Rand Paul has demonstrated that he disagree with that basic principle.  Paul tried once again from that stage in Louisville to fashion himself as the one member of his party courageous enough to try to broaden Republican appeal to constituencies they ignore year after year. But his record makes it very clear that his views are outdated, outside of the mainstream, and disqualifying for a man who wants to lead our country. The American people deserve a leader who won't disrespect their intelligence, who won't pander to them when it's convenient, and who won't work to dismantle the progress we have made over the last five decades. What I heard today, didn't change the facts about Rand Paul's record.  The American people deserve better than Rand Paul.","Georgia Powers: Rand Paul, running for president, would like minorities to think he's an advocate. His record on rights shows otherwise .
On civil rights, women's choice, voting rights, immigrant DREAMers, education, he has shown he'd take country backwards, she says ."
CNN_DailyMail,"Summarize: (CNN)A French-language global television network regained control of one of its 11 channels Thursday after a cyberattack a day earlier crippled its broadcasts and social media accounts. Television network TV5Monde was gradually regaining control of its channels and social media outlets after suffering what the network's director called an ""extremely powerful cyberattack."" In addition to its 11 channels, TV5Monde lost control of its social media outlets and its websites, director Yves Bigot said in a video message posted later on Facebook. On a mobile site, which was still active, the network said it was ""hacked by an Islamist group."" ISIS logos and markings appeared on  TV5Monde social media accounts. But there was no immediate claim of responsibility by ISIS or any other group. As day broke Thursday in Europe, the network had regained the use of one of its 11 channels and its Facebook page, Paul Germain, the chain's editor in chief, told BFMTV, a CNN affiliate in France. However, by late morning, a number of pages on the network's website had messages saying they were under maintenance. The outage began around 8:45 p.m. Paris time (2:45 p.m. ET) on Wednesday. TV5Monde offers round-the-clock entertainment and news programming that reaches 260 million homes worldwide, according to the Ministry of Culture and Communications. It functions under a partnership among the governments of France, Canada and Switzerland, as well as the Wallonia-Brussels Federation. Other networks that provide content to TV5Monde include CNN affiliates France 2 and France 3, France 24 and Radio France International.","Network regains control of Facebook page and one of its 11 channels .
ISIS logos displayed but no claim of responsibility made by any group .
Network reaches 260 million homes worldwide ."
CNN_DailyMail,"Summarize: Abu Dhabi, United Arab Emirates (CNN)Lost luggage after a long flight is a common, frustrating occurrence of modern air travel. And sometimes, airlines lose things that are irreplaceable. American Jennifer Stewart says she was devastated to learn that Etihad Airways lost her most important baggage following a recent trip from Abu Dhabi to New York City: her 2-year-old pet cat, Felix. Stewart said that she and her husband, Joseph Naaman, booked Felix on their Etihad Airways flight from the United Arab Emirates to New York's John F. Kennedy International Airport on April 1. Shortly after the plane arrived in New York that evening, Felix went missing somewhere on the grounds of Kennedy Airport, according to Etihad Airways. Felix was able to get loose, Stewart said she believes, because the cat's plastic carrier was badly damaged at some point either during the flight or the transfer from the airplane to the pickup area. Stewart said a cargo manager called the couple to an office after they landed at Kennedy last week and notified them that their cat's carrier had been crushed. Photographs taken by Stewart showed a large hole in the top of the cat's carrier. At least one of the corners of the case appeared partially collapsed. Nearly one week later, Felix remains missing. ""For them to take a cat and ship him like he was cargo, not a live animal, makes me sick,"" Stewart said.  ""You trust that people care and are doing the job well, and then this happens."" A representative for Etihad Airways told CNN that that the loss of pets during air travel is ""extremely rare.""  The airline shipped more than 200 pets last year. Etihad Airways is investigating the incident and is working with ground handlers at the New York airport to help locate the missing cat. The Abu Dhabi-based carrier also said it hired ""third-party specialists"" to help in the hunt for Felix. ""We deeply regret this unfortunate incident and are keeping the owner apprised of the progress of the search,"" Etihad Airways told CNN in a statement. ""We will review our pet handling procedures in the wake of this incident, as the safety and care of pets traveling with Etihad Airways is a top priority."" Stewart and her husband booked the cat's flight as part of their job relocation to the United States after living in Abu Dhabi for more than three years. The couple said they spent $1,200 to ship Felix on the 14-hour flight. ""You pay all of this money, but for what? People assume you pay extra to have your pets taken care of, but they're treated no differently than a free piece of checked luggage,"" Stewart said. It isn't the first time a pet has gone missing at New York's busiest airport. In August 2011, a cat escaped from its carrier before an American Airlines flight from New York to San Francisco. That cat was eventually discovered -- alive -- two months later in a customs room at the airport. But the cat later had to be euthanized because of injuries and malnutrition it suffered while lost. This weekend, Stewart enlisted the help of a local nonprofit, which provided a highly trained detection dog, to help track down Felix's scent. A wildlife biologist who works with the airport has also placed traps to facilitate Felix's safe return, according to the Port Authority of New York and New Jersey. Officials at Kennedy have offered to assist Etihad Airways as the airline investigates what happened, the Port Authority said. Stewart said the couple will continue to search the airport until they have answers. ""We just want to find Felix. But I just don't know if we will,"" she said.","Couple spends $1,200 to ship their cat, Felix, on a flight from the United Arab Emirates .
Felix went missing somewhere at John F. Kennedy International Airport, airline says .
Pets are ""treated no differently than a free piece of checked luggage,"" Jennifer Stewart says ."
